name,content,authorID
sheep,"<a:sufisheep:718395610549452901><a:sufisheep:718395610549452901> <a:sufisheep:718395610549452901> <a:sufisheep:718395610549452901> 
<a:sufisheep:718395610549452901> <a:sufisheep:718395610549452901> <a:sufisheep:718395610549452901> <a:sufisheep:718395610549452901> 
<a:sufisheep:718395610549452901> <a:sufisheep:718395610549452901> <a:sufisheep:718395610549452901> <a:sufisheep:718395610549452901>",247292930346319872
no,"​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ 
​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ 
​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ 
​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​  no ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ 
​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ 
​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​ ​​",247292930346319872
cleverbot,"stay straight, don't use this GAY bot!",680835476034551925
nickofolas,racist-rapist-gay,246938839720001536
ping,🏓 Pong! 23483 ms,246938839720001536
about,"381963689470984203 FOUND YOUR IP ADDRESS, SKID, XD",700091773695033505
info,<a:HACKERMANS:580750186247356416>,246938839720001536
snipe,lol gay,246938839720001536
ui,User has the big gay,491174779278065689
choice,ask yes.no,247292930346319872
🍪,nice,488398758812319745
