guildID,prefix,authorID
581084433646616576,",",247292930346319872
336642139381301249,~,247292930346319872
577192344529404154,$,247292930346319872
411564918303752192,.,247292930346319872
503190685118103574,-,470373387609571339
724406079722618961,leli,717846814963007498
724455082850254890,Cm,324199630491484160
666921188911611905,<fire!>,666919139306242050
716671428371415130,P-,602539454401347597
724442273542176780,?,473232209378279434
462320531207749632,c!,454000185190907914
723929250335555645,C!,635053708664766464
724497742646476832,$,642267059010404353
724840296046919691,#,663075507708887050
723995205807636511,!,549130753716387852
702905177820364872,@,665207777182089216
721246415711633497,-,721601738339123210
722547918711685142,-,568464216462327828
693900148136476762,/,581784289881096199
716814379605295184,!,317270042741833739
722831179429970011,;,708419019186897023
723157236838301757,!,566629997293338635
721722678804742166,.,641331449269846045
724603053927563315,!,703095262259970109
724746879966904381,hello-,588174320896049157
724666613739028552,~,654836707522510869
724734288045801593,name,677879228091334714
724647205876793466,<.>,716098741706293391
719950111899385948,!,596730627722575872
722141191872839770,cool,612210241504935937
719959043069706331,*,718914657091584032
610437096615968769,:,560446547989626920
723691329011580940,?,694881488096854087
714240734823448647,lol,635893544984379432
725035630052245624,;,510577076751826964
672894105164054568,!,301789288649981953
719983131175813191,fish,680775324178579489
719599714290368573,1,591920632548032533
697137878613885118,.,235054193294049281
721751765967437914,<prefix>,720981174977036371
710114473402433577,!,374328434677121036
352968009939288085,<!>,361158363171782658
724622268415606805,>,317903372617515009
707988796578201632,!,694158249112633395
724415059417104405,-,704492250071040000
705082092463063111,<prefix-here>,443739860092846101
668135546723368961,!ban,627510148847501332
710131949418577970,/,695607983010218024
677670415488909322,zero,677646870339780640
705055690267558040,l,630232370141724673
722491985310515201,C/,650856324095279125
720747464952381520,Rem.,691800565524725901
722147059255476354,-,723953066679861258
429656576354287616,`,349566230602186753
721168681270509699,lol-,663163235440132097
723495389474324501,1,548134725810782219
705581455262351370,shawty,462034924460048395
722507542210543627,cm,531009334990209025
724856452342218814,-,701829178592591952
718275381693513760,!,660999404156747777
725178835733053491,/,706705920607912019
715903577687719997,ML,569718435177562113
716892496189456406,/,706705920607912019
689489358314668067,NoLife,652133769943318530
725140283506950155,;,716339576909856791
724918955096932462,!,379877012535377920
725217250973581364,$,718622239401967628
720055414846128210,Cred,366038306129051648
721978797687177276,!cmmake,602582433006747658
724154723737010179,/,277963026143903744
724318179060351068,/cm,705104890019578087
716248533547876444,-,694766495741378561
352778181746491404,lol!,348144780145983488
725238888469233734,<groovy>,591514031160819732
725240282907410552,hc-,545217719444963338
718103832869077103,.,702113944755765289
725267900080062474,"cm,",546718595837853707
715878888001241088,should_,578582336388464642
723312420977639545,c,410554731031691265
722468109549568031,?,433730510192246784
700755676271607838,!,609077285584240715
717371371134517280,cre_,702941331089260694
725378515922321408,/,496531926442573834
725375495641759784,<thank,635447835826978846
723533071835725845,cock,697884774349668353
725379772279947385,me,516654174880923649
725017519106293851,!,632675564851036196
723352649487089789,<hello,661634695993360396
725316075218141296,c!,721720066625896589
721099860119388271,.,571861791492276224
721529596553592943,!,518500002260058122
724486704215359520,Alexa,678334476706643969
725187185828954112,<!>,569334045805117471
709501572224253954,*,707615120175399023
725439275675680790,cm,721145457010802829
720763442297831424,*,338323419991113739
725406828825149521,cm!,487436422932987914
511338883380674561,&,423555311119499274
725131967288442983,`,723583359065784812
696030791318241300,cm!,599036791743578122
723730391374233652,??,694054707798343772
576812848584458240,C,523917946905427988
722236411910029414,?,533759458300657664
708359475576307783,=,682276784577970217
724973144934449194,~,703195822677950474
697090232113168384,-,663112900990205952
725291328409174048,hk,374760037534400522
724644753257529406,com,708006876746481684
596948569655869451,<prefix-here>,593057329667244069
725553195413274679,!,275092919570923521
725251457296629852,<prefix-here>,715860175592095887
725434823518453824,-,714950338251063388
725594934224093246,meme,403609612500336642
